muku	['voiced, bilabial, nasal, stop', 'voiceless, velar, oral, stop']
mukumuku	['voiced, bilabial, nasal, stop', 'voiceless, velar, oral, stop', 'voiced, bilabial, nasal, stop', 'voiceless, velar, oral, stop']
muna	['voiced, bilabial, nasal, stop', 'voiced, dental, nasal, stop']
muru	['voiced, bilabial, nasal, stop', 'voiced, dental-alveolar, oral, flap']
mutumutu	['voiced, bilabial, nasal, stop', 'voiceless, dental, oral, stop', 'voiced, bilabial, nasal, stop', 'voiceless, dental, oral, stop']
nanao	['voiced, dental, nasal, stop', 'voiced, dental, nasal, stop']
nao	['voiced, dental, nasal, stop']
narunga	['voiced, dental, nasal, stop', 'voiced, dental-alveolar, oral, flap', 'voiced, velar, nasal, stop']
nati	['voiced, dental, nasal, stop', 'voiceless, dental, oral, stop']
natu	['voiced, dental, nasal, stop', 'voiceless, dental, oral, stop']
nēhi	['voiced, dental, nasal, stop', 'voiceless, glottal, oral, fricative']
nehu	['voiced, dental, nasal, stop', 'voiceless, glottal, oral, fricative']
neke	['voiced, dental, nasal, stop', 'voiceless, velar, oral, stop']
nekeneke	['voiced, dental, nasal, stop', 'voiceless, velar, oral, stop', 'voiced, dental, nasal, stop', 'voiceless, velar, oral, stop']
ngahu	['voiced, velar, nasal, stop', 'voiceless, glottal, oral, fricative']
ngaki	['voiced, velar, nasal, stop', 'voiceless, velar, oral, stop']
ngare	['voiced, velar, nasal, stop', 'voiced, dental-alveolar, oral, flap']
ngau	['voiced, velar, nasal, stop']
ngaungau	['voiced, velar, nasal, stop', 'voiced, velar, nasal, stop']
ngote	['voiced, velar, nasal, stop', 'voiceless, dental, oral, stop']
niko	['voiced, dental, nasal, stop', 'voiceless, velar, oral, stop']
noa	['voiced, dental, nasal, stop']
noho	['voiced, dental, nasal, stop', 'voiceless, glottal, oral, fricative']
nuka	['voiced, dental, nasal, stop', 'voiceless, velar, oral, stop']
nukarau	['voiced, dental, nasal, stop', 'voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap']
nuku	['voiced, dental, nasal, stop', 'voiceless, velar, oral, stop']
nukunuku	['voiced, dental, nasal, stop', 'voiceless, velar, oral, stop', 'voiced, dental, nasal, stop', 'voiceless, velar, oral, stop']
numi	['voiced, dental, nasal, stop', 'voiced, bilabial, nasal, stop']
numu	['voiced, dental, nasal, stop', 'voiced, bilabial, nasal, stop']
oati	['voiceless, dental, oral, stop']
oka	['voiceless, velar, oral, stop']
oke	['voiceless, velar, oral, stop']
oma	['voiced, bilabial, nasal, stop']
onioni	['voiced, dental, nasal, stop', 'voiced, dental, nasal, stop']
ono	['voiced, dental, nasal, stop']
opa	['voiceless, bilabial, oral, stop']
